Identifiers	Set Identifiers	Name	Pitch	Cost	Power	Defense	Health	Intelligence	Rarity	Types	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Functional Text	Flavor Text	Type Text	Artists	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	Variations	Image URLs
OUT000	OUT	Plague Hive	2						F	Assassin, Ranger, Resource, Gem	Legendary				"**Legendary**

When you pitch Plague Hive, for each opposing hero, choose Inertia, Frailty, or Bloodrot Pox at random and create that token under their control."		Assassin / Ranger Resource – Gem	Mark Poole				No	S – OUT000 – N	/OUT000.png – OUT000 – N
OUT001	OUT	Uzuri, Switchblade					40	4	T	Assassin, Hero		Once per Turn Attack Reaction			**Once per Turn Attack Reaction** - Banish a card from your hand face down: Turn the card banished this way face up. If it's an attack action card with cost 2 or less, put target attacking card with **stealth** from the active chain link on the bottom of it's owner's deck, then put the banished card onto the active chain link as the attacking card.		Assassin Hero					No	S – OUT001 – N	https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT001.width-450.png - OUT001 - N
OUT002	OUT	Uzuri					20	4	T	Assassin, Hero, Young		Once per Turn Attack Reaction			**Once per Turn Attack Reaction** - Banish a card from your hand face down: Turn the card banished this way face up. If it's an attack action card with cost 2 or less, put target attacking card with **stealth** from the active chain link on the bottom of it's owner's deck, then put the banished card onto the active chain link as the attacking card.		Assassin Hero – Young						S – OUT002 – N	https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT002.width-450.png - OUT002 - N
OUT003	OUT	Arakni, Solitary Confinement					19	4	T	Assassin, Hero, Young							Assassin Hero – Young						C - HER079 - N, S – OUT003 – N	/HER079.png – HER079 – N, /OUT003.width-450.png – OUT003 – N
DYN115, DYN116, OUT004	DYN, DYN, OUT	Spider’s Bite			1				R, R, T	Assassin, Weapon, Dagger, 1H	Piercing 1	Once per Turn Action	Attack, Go again		"**Once per Turn Action** – {r}{r}: **Attack**. **Go again**

**Piercing 1**

When this hits a hero, the next time they defend with 1 or more attack action cards this turn, those cards have -1{d} while defending."		Assassin Weapon – Dagger (1H)	Marcus Reyno					S R C – DYN115 – N, S R – DYN116 – N, S – OUT004 – N	https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN115.png – DYN115 – N, https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN116.png – DYN116 – N, /OUT004.png – OUT004 – N
OUT005, OUT006	OUT, OUT	Nerve Scalpel			1				M, M	Assassin, Weapon, Dagger, 1H	Piercing 1	Once per Turn Action	Attack, Go again		"**Once per Turn Action** - {r}{r}: **Attack**. **Go again**

**Piercing 1**

When this hits a hero, the next time they defend with 1 or more reaction cards this turn, those cards have -1{d} while defending."		Assassin Weapon - Dagger (1H)	Tomasz Jedruszek				No	S - OUT005 - N, S - OUT006 - N	/OUT005.png – OUT005 – N, /OUT006.png – OUT006 – N
OUT007, OUT008	OUT, OUT	Orbitoclast			1				M	Assassin, Weapon, Dagger, 1H	Piercing 1	Once per Turn Action	Attack, Go again		"**Once per Turn Action** - {r}{r}: **Attack**. **Go again**

**Piercing 1**

When this hits a hero, the next time they defend with 1 or more 'non-attack' action cards this turn, those cards have -1{d} while defending."		Assassin Weapon - Dagger (1H)	Alexis Susani				No	S - OUT007 - N, S - OUT008 - N	/OUT007.png – OUT007 – N, /OUT008.png – OUT008 – N
OUT009, OUT010	OUT, OUT	Scale Peeler			1				M	Assassin, Weapon, Dagger, 1H	Piercing 1	Once per Turn Action	Attack, Go again		"**Once per Turn Action** - {r}{r}: **Attack**. **Go again**

**Piercing 1**

When this hits a hero, the next time they defend with 1 or more equipment this turn, those equipment have -1{d} while defending."		Assassin Weapon - Dagger (1H)	Federico Musetti				No	S - OUT009 - N, S – OUT010 - N	/OUT009.png – OUT009 – N, /OUT010.png – OUT010 – N
OUT011	OUT	Redback Shroud				1			L	Assassin, Equipment, Chest	Battleworn	Attack Reaction			"While Redback Shroud is in your graveyard, at the start of your turn, you may destroy 2 Silver you control. If you do, equip Redback Shroud.

**Attack Reaction** - Destroy Redback Shroud: The next attack reaction card you play this turn costs {r} less to play.

**Battleworn**"		Assassin Equipment - Chest	soyameii				No	C - OUT011 - N - EA	/OUT011.png – OUT011 – N – EA
OUT012	OUT	Infiltrate	1	0	3	3			M	Assassin, Action, Attack	Stealth				"**Stealth**

When this hits a hero, banish the top card of their deck. You may play it until the end of your next turn."		Assassin Action - Attack	Isuardi Therianto				No	 S – OUT160 – N, C – OUT160 – N – FA	/OUT012.png – OUT012 – N
